C,Mn,S,P,Si,Ni,Cr,Cu,Ti,Co,N,Pb,Sn,Al,B,V,Ca,Nb,CAPL MAIN DEFECT
80,4200,28,400,4100,2000,172600,1700,3400,500,109,39,116,460,6,480,9,30,Inclusion Free
80,4200,28,400,4100,2000,172600,1700,3400,500,109,39,116,460,6,480,9,30,SLIVER C-BODY
75,4200,15,310,4700,1300,113700,600,2400,300,80,34,56,290,6,310,9,40,Spinel Inclusion
76,3400,20,350,3400,1800,172500,600,3200,400,97,40,78,500,6,460,13,20,Inclusion Free
80,2500,10,310,5900,1300,112000,400,2100,300,78,40,64,255,3,300,9,30,HOLE
88,2200,20,300,3600,1900,177500,500,1300,600,110,34,52,195,3,360,15,3800,Spinel Inclusion
108,3400,20,330,4400,1300,174700,600,3300,500,103,36,49,220,4,540,8,20,Inclusion Free
87,2500,10,360,4300,1600,172900,700,3100,500,109,42,103,331,2,520,7,30,Spinel Inclusion
80,3200,20,340,3900,1900,172600,1000,3500,500,102,30,78,500,4,560,10,20,Inclusion Free
95,2600,20,300,3600,1400,172800,100,3700,500,125,37,45,568,4,480,15,100,Spinel Inclusion
80,2800,20,320,3600,1900,178100,400,1500,600,110,35,39,245,4,390,10,3600,SLIVER C-BODY
74,3400,20,330,4300,1500,112900,1400,2100,300,70,41,116,500,6,420,9,30,Inclusion Free
90,3200,20,340,3400,1900,175800,600,1600,500,120,35,48,320,3,340,8,3700,HOLE
68,3100,20,290,4700,1200,113400,700,2200,300,76,42,53,336,5,300,9,40,Spinel Inclusion
79,3100,19,330,4200,1300,115200,700,2300,300,85,50,60,290,5,270,12,50,SLIVER C-BODY
66,3000,20,320,4400,1600,113500,1000,2500,300,71,42,87,380,5,280,12,30,Casting Powder Inclusion
84,3300,30,330,3400,1800,176800,700,1300,500,99,38,82,330,4,500,11,3600,Spinel Inclusion
63,2800,24,320,3600,2500,176800,1700,1400,500,104,46,91,310,4,450,12,3600,SLIVER C-EDGE
76,3400,20,350,5000,1500,113400,1000,2000,300,80,42,62,200,6,420,8,30,Casting Powder Inclusion
80,4200,28,400,4100,2000,172600,1700,3400,500,109,39,116,460,6,480,9,30,Casting Powder Inclusion
69,3700,20,330,4300,1700,114000,1400,2400,300,74,44,85,340,6,300,9,20,Spinel Inclusion
75,3500,20,320,5300,1300,173200,600,3200,500,102,34,51,340,3,520,7,30,Inclusion Free
78,2300,20,350,4000,1600,172000,500,3100,500,110,40,112,310,2,430,8,30,Inclusion Free
77,3400,17,350,4500,1800,172000,1300,2900,600,90,40,80,230,18,540,8,200,Inclusion Free
77,3500,18,350,2500,2300,171700,800,3500,500,101,53,88,340,3,450,9,30,HOLE
95,3500,18,330,4300,1700,171500,1200,3100,400,92,40,81,355,25,540,11,40,SLIVER C-BODY
92,2600,41,310,2000,1900,174800,600,3500,500,115,38,86,390,4,390,10,80,HOLE
100,2600,20,360,3700,1400,172200,600,3200,500,110,35,53,375,3,570,10,20,SLIVER C-EDGE
80,2800,10,360,4000,1500,172300,700,3400,500,118,43,99,500,2,500,6,20,Spinel Inclusion
76,3800,10,360,5100,1500,112000,1600,2100,300,80,33,86,260,4,320,10,40,Spinel Inclusion
80,2900,10,350,5200,800,112800,900,2900,300,76,25,50,335,1,300,8,40,Spinel Inclusion
70,2700,20,320,5400,700,112400,600,2250,300,75,27,40,385,2,290,3,30,Spinel Inclusion
64,2100,14,290,4100,1800,173200,500,3100,400,95,48,102,285,3,350,12,20,Inclusion Free
84,3400,20,340,3900,2000,171600,500,2900,400,115,48,71,266,5,410,10,20,Inclusion Free
85,3400,30,320,3300,1800,178200,300,1500,500,125,32,41,190,4,390,4,3400,Spinel Inclusion
78,3400,20,360,4100,1700,172000,1200,3100,500,108,40,90,446,6,560,9,80,Inclusion Free
95,3700,20,350,3300,1800,182300,1100,1400,600,114,41,73,390,8,530,5,3700,Spinel Inclusion
70,3500,14,340,4300,1500,174000,400,2900,300,92,41,57,230,17,530,6,30,Inclusion Free
90,4700,16,340,4400,1900,181200,800,1400,500,109,48,96,265,4,420,10,3500,Spinel Inclusion
90,2600,20,350,3100,1300,171600,400,3100,500,115,35,44,350,2,440,16,60,HOLE
97,2500,22,340,4500,2000,173000,500,3100,400,115,46,64,225,5,410,10,20,Inclusion Free
80,2800,40,330,4900,2000,113500,800,2200,300,99,35,76,342,6,320,8,30,Spinel Inclusion
75,3600,18,330,3600,2300,177600,700,1400,600,111,51,82,310,4,430,11,3500,Spinel Inclusion
65,3400,15,340,4500,1400,114000,1200,2200,300,73,42,94,370,6,280,8,40,Spinel Inclusion
67,4600,20,310,4400,1000,112000,300,2200,300,90,38,37,300,5,440,11,60,Casting Powder Inclusion
75,3500,20,340,5700,2400,112600,1300,2100,300,72,51,90,220,3,320,9,40,HOLE
78,3400,20,360,4100,1700,172000,1200,3100,500,108,40,90,446,6,560,9,80,HOLE
65,2900,16,290,4300,1800,173300,400,3000,400,100,44,122,220,4,410,14,30,Inclusion Free
65,2900,16,290,4300,1800,173300,400,3000,400,100,44,122,220,4,410,14,30,Inclusion Free
70,3000,20,310,4000,1400,112800,1100,2500,300,73,36,118,488,5,420,6,30,Spinel Inclusion
96,3000,20,340,4300,1800,172700,1200,3300,400,103,39,88,370,19,520,12,20,Inclusion Free
62,2900,18,300,3400,1800,172700,400,3250,400,102,46,124,375,3,350,10,30,Inclusion Free
90,3800,20,350,3400,1800,171400,400,3400,500,116,45,45,335,2,450,9,50,Spinel Inclusion
78,2700,20,340,4900,1600,171500,500,2800,500,107,42,96,230,3,450,9,30,Inclusion Free
86,3900,16,310,4500,1600,113600,1000,2200,300,75,43,73,345,5,270,9,30,Spinel Inclusion
80,3600,20,310,5200,1000,112600,600,2200,300,88,39,43,420,5,390,9,30,Casting Powder Inclusion
68,3200,20,310,4600,1500,112400,800,2500,300,88,42,64,500,4,300,10,30,Spinel Inclusion
80,3500,25,370,3900,2000,174000,900,3100,400,106,40,89,360,5,460,11,30,Inclusion Free
82,3400,27,320,4000,1900,171400,500,3400,400,106,46,106,250,5,380,12,20,Inclusion Free
62,2900,18,300,3400,1800,172700,400,3250,400,102,46,124,375,3,350,10,30,Inclusion Free
80,2800,10,360,4000,1500,172300,700,3400,500,118,43,99,500,2,500,6,20,Inclusion Free
88,3300,30,340,2000,2100,177000,800,3200,400,125,52,145,295,3,450,4,20,SLIVER C-BODY
80,4200,28,400,4100,2000,172600,1700,3400,500,109,39,116,460,6,480,9,30,Casting Powder Inclusion
72,3000,17,310,3000,2000,173600,400,3300,400,110,47,85,248,5,380,12,30,Inclusion Free
